Bitcoin_Original,Bitcoin_RT,Total_Tweet
0,1,1
1,1,2
1,2,3
1,3,4
1,4,5
1,5,6
2,5,7
2,6,8
2,7,9
3,7,10
3,8,11
3,9,12
3,10,13
3,11,14
3,12,15
3,13,16
3,14,17
4,14,18
5,14,19
5,15,20
6,15,21
7,15,22
7,16,23
8,16,24
9,16,25
10,16,26
11,16,27
11,17,28
12,17,29
13,17,30
13,18,31
13,19,32
14,19,33
14,20,34
14,21,35
15,21,36
16,21,37
16,22,38
17,22,39
17,23,40
18,23,41
18,24,42
18,25,43
19,25,44
19,26,45
19,27,46
19,28,47
19,29,48
19,30,49
20,30,50
20,31,51
20,32,52
20,33,53
