Time,Bitcoin_Original,Bitcoin_RT,Total_Tweet
Tue May 11 01:56:58 +0000 2021,1,0,1
Tue May 11 01:56:59 +0000 2021,1,1,2
Tue May 11 01:56:59 +0000 2021,2,1,3
Tue May 11 01:57:00 +0000 2021,2,2,4
Tue May 11 01:57:00 +0000 2021,2,3,5
Tue May 11 01:57:00 +0000 2021,3,3,6
Tue May 11 01:57:00 +0000 2021,4,3,7
Tue May 11 01:57:01 +0000 2021,5,3,8
Tue May 11 01:57:01 +0000 2021,5,4,9
Tue May 11 01:57:01 +0000 2021,5,5,10
Tue May 11 01:57:01 +0000 2021,6,5,11
Tue May 11 01:57:01 +0000 2021,7,5,12
Tue May 11 01:57:01 +0000 2021,8,5,13
Tue May 11 01:57:02 +0000 2021,8,6,14
Tue May 11 01:57:02 +0000 2021,9,6,15
Tue May 11 01:57:02 +0000 2021,9,7,16
Tue May 11 01:57:02 +0000 2021,9,8,17
Tue May 11 01:57:02 +0000 2021,10,8,18
Tue May 11 01:57:02 +0000 2021,11,8,19
Tue May 11 01:57:03 +0000 2021,11,9,20
Tue May 11 01:57:03 +0000 2021,11,10,21
Tue May 11 01:57:04 +0000 2021,11,11,22
Tue May 11 01:57:04 +0000 2021,12,11,23
Tue May 11 01:57:04 +0000 2021,12,12,24
Tue May 11 01:57:04 +0000 2021,12,13,25
Tue May 11 01:57:04 +0000 2021,12,14,26
Tue May 11 01:57:04 +0000 2021,12,15,27
Tue May 11 01:57:04 +0000 2021,13,15,28
Tue May 11 01:57:05 +0000 2021,13,16,29
Tue May 11 01:57:05 +0000 2021,13,17,30
Tue May 11 01:57:05 +0000 2021,13,18,31
Tue May 11 01:57:06 +0000 2021,13,19,32
Tue May 11 01:57:06 +0000 2021,14,19,33
Tue May 11 01:57:06 +0000 2021,15,19,34
Tue May 11 01:57:06 +0000 2021,15,20,35
Tue May 11 01:57:07 +0000 2021,15,21,36
Tue May 11 01:57:07 +0000 2021,16,21,37
Tue May 11 01:57:07 +0000 2021,16,22,38
Tue May 11 01:57:07 +0000 2021,17,22,39
Tue May 11 01:57:07 +0000 2021,18,22,40
Tue May 11 01:57:07 +0000 2021,19,22,41
Tue May 11 01:57:08 +0000 2021,19,23,42
Tue May 11 01:57:08 +0000 2021,19,24,43
Tue May 11 01:57:10 +0000 2021,20,24,44
Tue May 11 01:57:10 +0000 2021,20,25,45
Tue May 11 01:57:11 +0000 2021,20,26,46
Tue May 11 01:57:11 +0000 2021,21,26,47
Tue May 11 01:57:12 +0000 2021,21,27,48
Tue May 11 01:57:12 +0000 2021,21,28,49
Tue May 11 01:57:12 +0000 2021,22,28,50
Tue May 11 01:57:12 +0000 2021,23,28,51
Tue May 11 01:57:12 +0000 2021,24,28,52
Tue May 11 01:57:13 +0000 2021,25,28,53
Tue May 11 01:57:13 +0000 2021,26,28,54
Tue May 11 01:57:13 +0000 2021,27,28,55
Tue May 11 01:57:13 +0000 2021,28,28,56
Tue May 11 01:57:14 +0000 2021,28,29,57
Tue May 11 01:57:14 +0000 2021,28,30,58
Tue May 11 01:57:14 +0000 2021,29,30,59
Tue May 11 01:57:15 +0000 2021,29,31,60
Tue May 11 01:57:15 +0000 2021,30,31,61
Tue May 11 01:57:15 +0000 2021,30,32,62
Tue May 11 01:57:15 +0000 2021,30,33,63
Tue May 11 01:57:15 +0000 2021,30,34,64
Tue May 11 01:57:16 +0000 2021,31,34,65
Tue May 11 01:57:16 +0000 2021,31,35,66
Tue May 11 01:57:16 +0000 2021,31,36,67
Tue May 11 01:57:16 +0000 2021,31,37,68
Tue May 11 01:57:17 +0000 2021,32,37,69
Tue May 11 01:57:17 +0000 2021,33,37,70
Tue May 11 01:57:17 +0000 2021,33,38,71
Tue May 11 01:57:17 +0000 2021,34,38,72
Tue May 11 01:57:17 +0000 2021,34,39,73
Tue May 11 01:57:18 +0000 2021,34,40,74
Tue May 11 01:57:18 +0000 2021,34,41,75
Tue May 11 01:57:18 +0000 2021,34,42,76
Tue May 11 01:57:18 +0000 2021,34,43,77
Tue May 11 01:57:18 +0000 2021,35,43,78
Tue May 11 01:57:18 +0000 2021,35,44,79
Tue May 11 01:57:19 +0000 2021,35,45,80
Tue May 11 01:57:20 +0000 2021,35,46,81
Tue May 11 01:57:20 +0000 2021,36,46,82
Tue May 11 01:57:21 +0000 2021,37,46,83
Tue May 11 01:57:21 +0000 2021,37,47,84
Tue May 11 01:57:21 +0000 2021,37,48,85
Tue May 11 01:57:21 +0000 2021,37,49,86
Tue May 11 01:57:21 +0000 2021,38,49,87
Tue May 11 01:57:22 +0000 2021,39,49,88
Tue May 11 01:57:22 +0000 2021,39,50,89
