Create_Time,Bitcoin_Original,Bitcoin_RT,Total_Tweet
2021-05-20 01:43:56,0,1,1
2021-05-20 01:43:56,0,2,2
2021-05-20 01:43:56,1,2,3
2021-05-20 01:43:56,1,3,4
2021-05-20 01:43:57,1,4,5
2021-05-20 01:43:57,2,4,6
2021-05-20 01:43:57,2,5,7
2021-05-20 01:43:57,2,6,8
2021-05-20 01:43:57,2,7,9
2021-05-20 01:43:57,3,7,10
2021-05-20 01:43:57,3,8,11
2021-05-20 01:43:57,4,8,12
2021-05-20 01:43:57,5,8,13
2021-05-20 01:43:57,6,8,14
2021-05-20 01:43:58,6,9,15
2021-05-20 01:43:58,7,9,16
2021-05-20 01:43:58,8,9,17
2021-05-20 01:43:58,8,10,18
2021-05-20 01:43:58,9,10,19
2021-05-20 01:43:58,10,10,20
2021-05-20 01:43:58,11,10,21
2021-05-20 01:43:58,11,11,22
2021-05-20 01:43:58,11,12,23
2021-05-20 01:43:59,12,12,24
2021-05-20 01:43:59,13,12,25
2021-05-20 01:43:59,14,12,26
2021-05-20 01:43:59,14,13,27
2021-05-20 01:43:59,15,13,28
2021-05-20 01:43:59,16,13,29
2021-05-20 01:43:59,16,14,30
2021-05-20 01:44:00,16,15,31
2021-05-20 01:44:00,16,16,32
2021-05-20 01:44:00,16,17,33
2021-05-20 01:44:00,17,17,34
2021-05-20 01:44:00,18,17,35
2021-05-20 01:44:01,18,18,36
2021-05-20 01:44:01,18,19,37
2021-05-20 01:44:01,18,20,38
2021-05-20 01:44:01,18,21,39
2021-05-20 01:44:01,18,22,40
2021-05-20 01:44:01,18,23,41
2021-05-20 01:44:01,19,23,42
2021-05-20 01:44:01,19,24,43
2021-05-20 01:44:01,19,25,44
2021-05-20 01:44:01,19,26,45
2021-05-20 01:44:01,20,26,46
2021-05-20 01:44:02,20,27,47
2021-05-20 01:44:02,20,28,48
2021-05-20 01:44:02,21,28,49
2021-05-20 01:44:02,21,29,50
2021-05-20 01:44:02,22,29,51
2021-05-20 01:44:02,23,29,52
2021-05-20 01:44:02,23,30,53
2021-05-20 01:44:02,23,31,54
2021-05-20 01:44:02,23,32,55
2021-05-20 01:44:02,24,32,56
2021-05-20 01:44:02,25,32,57
2021-05-20 01:44:03,26,32,58
2021-05-20 01:44:03,27,32,59
2021-05-20 01:44:03,28,32,60
2021-05-20 01:44:03,28,33,61
2021-05-20 01:44:03,29,33,62
2021-05-20 01:44:03,29,34,63
2021-05-20 01:44:03,30,34,64
2021-05-20 01:44:03,30,35,65
2021-05-20 01:44:03,30,36,66
2021-05-20 01:44:03,30,37,67
2021-05-20 01:44:04,30,38,68
2021-05-20 01:44:04,31,38,69
2021-05-20 01:44:04,32,38,70
2021-05-20 01:44:04,33,38,71
2021-05-20 01:44:04,34,38,72
2021-05-20 01:44:04,34,39,73
2021-05-20 01:44:04,35,39,74
2021-05-20 01:44:04,36,39,75
2021-05-20 01:44:04,37,39,76
2021-05-20 01:44:04,38,39,77
2021-05-20 01:44:04,39,39,78
2021-05-20 01:44:04,40,39,79
2021-05-20 01:44:04,40,40,80
2021-05-20 01:44:04,41,40,81
2021-05-20 01:44:05,42,40,82
2021-05-20 01:44:05,43,40,83
2021-05-20 01:44:05,43,41,84
2021-05-20 01:44:05,44,41,85
2021-05-20 01:44:05,44,42,86
2021-05-20 01:44:05,44,43,87
2021-05-20 01:44:05,45,43,88
2021-05-20 01:44:05,46,43,89
2021-05-20 01:44:05,46,44,90
2021-05-20 01:44:06,47,44,91
2021-05-20 01:44:06,48,44,92
2021-05-20 01:44:06,48,45,93
2021-05-20 01:44:06,48,46,94
2021-05-20 01:44:06,49,46,95
2021-05-20 01:44:06,50,46,96
2021-05-20 01:44:07,50,47,97
2021-05-20 01:44:07,50,48,98
2021-05-20 01:44:07,50,49,99
2021-05-20 01:44:07,50,50,100
2021-05-20 01:44:07,50,51,101
2021-05-20 01:44:07,51,51,102
2021-05-20 01:44:07,52,51,103
2021-05-20 01:44:08,52,52,104
2021-05-20 01:44:08,53,52,105
2021-05-20 01:44:08,54,52,106
2021-05-20 01:44:08,55,52,107
2021-05-20 01:44:08,55,53,108
2021-05-20 01:44:08,55,54,109
2021-05-20 01:44:08,55,55,110
2021-05-20 01:44:08,56,55,111
2021-05-20 01:44:09,56,56,112
2021-05-20 01:44:09,56,57,113
2021-05-20 01:44:09,56,58,114
2021-05-20 01:44:09,56,59,115
2021-05-20 01:44:09,57,59,116
2021-05-20 01:44:10,57,60,117
2021-05-20 01:44:10,58,60,118
2021-05-20 01:44:10,58,61,119
2021-05-20 01:44:10,58,62,120
2021-05-20 01:44:10,59,62,121
2021-05-20 01:44:10,59,63,122
2021-05-20 01:44:10,59,64,123
2021-05-20 01:44:10,59,65,124
2021-05-20 01:44:10,60,65,125
2021-05-20 01:44:10,60,66,126
2021-05-20 01:44:10,60,67,127
2021-05-20 01:44:11,60,68,128
2021-05-20 01:44:11,61,68,129
2021-05-20 01:44:11,61,69,130
2021-05-20 01:44:11,61,70,131
2021-05-20 01:44:11,61,71,132
2021-05-20 01:44:11,61,72,133
2021-05-20 01:44:11,61,73,134
2021-05-20 01:44:12,62,73,135
2021-05-20 01:44:12,62,74,136
2021-05-20 01:44:12,62,75,137
2021-05-20 01:44:12,63,75,138
2021-05-20 01:44:12,63,76,139
2021-05-20 01:44:12,64,76,140
2021-05-20 01:44:13,64,77,141
2021-05-20 01:44:13,64,78,142
2021-05-20 01:44:13,65,78,143
2021-05-20 01:44:13,66,78,144
2021-05-20 01:44:13,67,78,145
2021-05-20 01:44:13,67,79,146
2021-05-20 01:44:13,68,79,147
2021-05-20 01:44:13,69,79,148
2021-05-20 01:44:13,69,80,149
2021-05-20 01:44:13,70,80,150
2021-05-20 01:44:13,70,81,151
2021-05-20 01:44:13,70,82,152
2021-05-20 01:44:13,71,82,153
2021-05-20 01:44:14,71,83,154
2021-05-20 01:44:14,71,84,155
2021-05-20 01:44:14,72,84,156
2021-05-20 01:44:14,73,84,157
2021-05-20 01:44:14,73,85,158
2021-05-20 01:44:14,73,86,159
2021-05-20 01:44:14,74,86,160
2021-05-20 01:44:14,74,87,161
2021-05-20 01:44:14,74,88,162
2021-05-20 01:44:15,74,89,163
2021-05-20 01:44:15,74,90,164
2021-05-20 01:44:15,74,91,165
2021-05-20 01:44:15,74,92,166
2021-05-20 01:44:15,74,93,167
2021-05-20 01:44:15,74,94,168
2021-05-20 01:44:15,74,95,169
2021-05-20 01:44:15,74,96,170
2021-05-20 01:44:16,75,96,171
2021-05-20 01:44:16,76,96,172
2021-05-20 01:44:16,76,97,173
2021-05-20 01:44:16,76,98,174
2021-05-20 01:44:16,77,98,175
2021-05-20 01:44:16,78,98,176
2021-05-20 01:44:16,78,99,177
2021-05-20 01:44:16,78,100,178
2021-05-20 01:44:17,79,100,179
2021-05-20 01:44:17,79,101,180
2021-05-20 01:44:17,79,102,181
2021-05-20 01:44:17,79,103,182
2021-05-20 01:44:17,80,103,183
2021-05-20 01:44:17,80,104,184
2021-05-20 01:44:17,81,104,185
2021-05-20 01:44:17,82,104,186
2021-05-20 01:44:17,83,104,187
2021-05-20 01:44:17,83,105,188
2021-05-20 01:44:17,83,106,189
2021-05-20 01:44:18,83,107,190
2021-05-20 01:44:18,83,108,191
2021-05-20 01:44:18,84,108,192
2021-05-20 01:44:18,84,109,193
2021-05-20 01:44:18,84,110,194
2021-05-20 01:44:18,84,111,195
2021-05-20 01:44:18,85,111,196
2021-05-20 01:44:18,86,111,197
2021-05-20 01:44:18,86,112,198
2021-05-20 01:44:19,86,113,199
2021-05-20 01:44:19,86,114,200
2021-05-20 01:44:19,86,115,201
2021-05-20 01:44:19,86,116,202
2021-05-20 01:44:19,87,116,203
2021-05-20 01:44:19,87,117,204
2021-05-20 01:44:19,88,117,205
2021-05-20 01:44:19,88,118,206
2021-05-20 01:44:19,89,118,207
2021-05-20 01:44:20,89,119,208
2021-05-20 01:44:20,89,120,209
2021-05-20 01:44:20,90,120,210
2021-05-20 01:44:20,90,121,211
2021-05-20 01:44:20,90,122,212
2021-05-20 01:44:21,90,123,213
2021-05-20 01:44:21,90,124,214
2021-05-20 01:44:21,90,125,215
2021-05-20 01:44:21,90,126,216
2021-05-20 01:44:21,91,126,217
2021-05-20 01:44:21,91,127,218
2021-05-20 01:44:21,91,128,219
2021-05-20 01:44:21,91,129,220
2021-05-20 01:44:21,91,130,221
2021-05-20 01:44:21,91,131,222
2021-05-20 01:44:21,91,132,223
2021-05-20 01:44:22,91,133,224
2021-05-20 01:44:22,91,134,225
2021-05-20 01:44:22,91,135,226
2021-05-20 01:44:22,91,136,227
2021-05-20 01:44:22,92,136,228
2021-05-20 01:44:22,93,136,229
2021-05-20 01:44:22,93,137,230
2021-05-20 01:44:22,94,137,231
2021-05-20 01:44:22,94,138,232
2021-05-20 01:44:22,95,138,233
2021-05-20 01:44:23,95,139,234
2021-05-20 01:44:23,95,140,235
2021-05-20 01:44:23,96,140,236
2021-05-20 01:44:23,97,140,237
2021-05-20 01:44:23,98,140,238
2021-05-20 01:44:23,99,140,239
2021-05-20 01:44:23,99,141,240
2021-05-20 01:44:23,100,141,241
2021-05-20 01:44:23,101,141,242
2021-05-20 01:44:23,102,141,243
2021-05-20 01:44:23,103,141,244
2021-05-20 01:44:24,103,142,245
2021-05-20 01:44:24,104,142,246
2021-05-20 01:44:24,104,143,247
2021-05-20 01:44:24,104,144,248
2021-05-20 01:44:25,104,145,249
2021-05-20 01:44:25,104,146,250
2021-05-20 01:44:25,105,146,251
2021-05-20 01:44:25,105,147,252
2021-05-20 01:44:25,106,147,253
2021-05-20 01:44:25,107,147,254
2021-05-20 01:44:25,107,148,255
2021-05-20 01:44:25,108,148,256
2021-05-20 01:44:25,109,148,257
2021-05-20 01:44:25,109,149,258
2021-05-20 01:44:26,109,150,259
2021-05-20 01:44:26,110,150,260
2021-05-20 01:44:26,111,150,261
2021-05-20 01:44:26,111,151,262
2021-05-20 01:44:26,111,152,263
2021-05-20 01:44:26,112,152,264
2021-05-20 01:44:27,112,153,265
2021-05-20 01:44:27,112,154,266
2021-05-20 01:44:27,112,155,267
2021-05-20 01:44:28,112,156,268
2021-05-20 01:44:28,112,157,269
2021-05-20 01:44:28,113,157,270
2021-05-20 01:44:28,114,157,271
2021-05-20 01:44:28,114,158,272
2021-05-20 01:44:28,115,158,273
2021-05-20 01:44:28,116,158,274
2021-05-20 01:44:28,116,159,275
2021-05-20 01:44:28,117,159,276
2021-05-20 01:44:28,117,160,277
2021-05-20 01:44:28,117,161,278
2021-05-20 01:44:28,118,161,279
2021-05-20 01:44:28,118,162,280
2021-05-20 01:44:29,118,163,281
